subjectID,sessionIdx,eventNumber,onsetTime,peakTime,offsetTime,duration,amplitude,direction,peakVelocity,strength,onsetIndex,peakIndex,offsetIndex,absAmplitude,absPeakVelocity,timeSincePrevious,passQC
FLIC_0013,1,1,0.1645,0.1865,0.2355,0.071,-2.82606360875592,-1,-76.1122276469298,215.097996734334,330,374,472,2.82606360875592,76.1122276469298,NaN,1
FLIC_0013,1,2,2.8225,2.8475,2.878,0.0555000000000003,-2.29989310457931,-1,-73.2175804092629,168.392608317245,5646,5696,5757,2.29989310457931,73.2175804092629,2.658,1
FLIC_0013,1,3,4.2175,4.2415,4.297,0.0794999999999995,-3.676993404323,-1,-69.9910251539896,257.356537853025,8436,8484,8595,3.676993404323,69.9910251539896,1.395,1
FLIC_0013,1,4,5.6275,5.6385,5.742,0.1145,4.88632298367193,1,61.830047448145,302.121581927397,11256,11278,11485,4.88632298367193,61.830047448145,1.41,1
FLIC_0013,1,5,6.9635,6.9865,7.045,0.0815000000000001,3.52231044576038,1,70.7214000945053,249.102726291675,13928,13974,14091,3.52231044576038,70.7214000945053,1.336,1
FLIC_0013,1,6,8.2515,8.28,8.348,0.0965000000000007,-4.64483169102787,-1,-96.0814219983681,446.282033817042,16504,16561,16697,4.64483169102787,96.0814219983681,1.288,1
FLIC_0013,1,7,9.611,9.6495,9.7165,0.105499999999999,-4.77900653582765,-1,-69.7492962585842,333.332342689153,19223,19300,19434,4.77900653582765,69.7492962585842,1.3595,1
FLIC_0013,1,8,11.0295,11.0395,11.14,0.1105,5.15469626809293,1,59.2866390711024,305.604617167584,22060,22080,22281,5.15469626809293,59.2866390711024,1.4185,1
FLIC_0013,1,9,12.384,12.418,12.4765,0.0924999999999994,4.18211756287298,1,74.6001451354266,311.986577163741,24769,24837,24954,4.18211756287298,74.6001451354266,1.3545,1
FLIC_0013,1,10,13.6025,13.649,13.6915,0.0890000000000004,-5.9002109308721,-1,-102.535091433731,604.97866727527,27206,27299,27384,5.9002109308721,102.535091433731,1.2185,1
FLIC_0013,1,11,14.98,15.0305,15.075,0.0949999999999989,-4.59262042007758,-1,-75.2880409475426,345.769394243321,29961,30062,30151,4.59262042007758,75.2880409475426,1.3775,1
FLIC_0013,1,12,16.3785,16.3915,16.447,0.0685000000000002,4.52649496542423,1,69.3131332517686,313.745548701909,32758,32784,32895,4.52649496542423,69.3131332517686,1.3985,1
FLIC_0013,1,13,17.8375,17.861,17.9285,0.0910000000000011,3.72395525824007,1,59.67380920573,222.222595570893,35676,35723,35858,3.72395525824007,59.67380920573,1.459,1
FLIC_0013,1,14,19.259,19.296,19.351,0.0919999999999987,-5.17715541135731,-1,-86.1613210761342,446.070549659003,38519,38593,38703,5.17715541135731,86.1613210761342,1.4215,1
FLIC_0013,1,15,21.184,21.2135,21.28,0.0960000000000001,-7.68318215178442,-1,-106.80213193434,820.580233850447,42369,42428,42561,7.68318215178442,106.80213193434,1.925,1
FLIC_0013,2,1,0.5225,0.5355,0.554,0.0315000000000001,1.88457810293124,1,92.7037530080269,174.707462978474,1046,1072,1109,1.88457810293124,92.7037530080269,NaN,1
FLIC_0013,2,2,4.693,4.723,4.7675,0.0745000000000005,-4.35097560434951,-1,-90.4276267625894,393.448398003249,9387,9447,9536,4.35097560434951,90.4276267625894,4.1705,1
FLIC_0013,2,3,7.307,7.333,7.3635,0.0564999999999998,2.75225867285238,1,78.0374070008338,214.779130224956,14615,14667,14728,2.75225867285238,78.0374070008338,2.614,1
FLIC_0013,2,4,8.6385,8.663,8.715,0.0764999999999993,-3.99591284137508,-1,-96.9616518244369,387.450309646207,17278,17327,17431,3.99591284137508,96.9616518244369,1.3315,1
FLIC_0013,2,5,9.9255,9.955,10.0065,0.0810000000000013,-5.10161213907995,-1,-89.3766315652829,455.964908543524,19852,19911,20014,5.10161213907995,89.3766315652829,1.287,1
FLIC_0013,2,6,12.6485,12.6755,12.7205,0.0719999999999992,4.23095138339753,1,81.5272263872581,344.937731267733,25298,25352,25442,4.23095138339753,81.5272263872581,2.723,1
FLIC_0013,2,7,18.023,18.048,18.0875,0.0644999999999989,3.39104278161346,1,74.2480097454069,251.778177496328,36047,36097,36176,3.39104278161346,74.2480097454069,5.3745,1
FLIC_0013,2,8,19.904,19.915,19.9885,0.0844999999999985,-4.7634780817898,-1,-94.011520384696,447.821816788234,39809,39831,39978,4.7634780817898,94.011520384696,1.881,1
FLIC_0013,2,9,20.1355,20.178,20.2135,0.0779999999999994,-4.84691659049131,-1,-87.6319795380209,424.744895480428,40272,40357,40428,4.84691659049131,87.6319795380209,0.2315,0
FLIC_0013,2,10,21.203,21.215,21.264,0.0609999999999999,4.73407335714376,1,87.2641312193294,413.114798639725,42407,42431,42529,4.73407335714376,87.2641312193294,1.0675,1
FLIC_0013,2,11,21.593,21.622,21.656,0.0629999999999988,-3.19485520949371,-1,-89.2317800325103,285.082617289263,43187,43245,43313,3.19485520949371,89.2317800325103,0.390000000000001,1
FLIC_0013,3,1,1.1615,1.177,1.1995,0.038,2.57503654557258,1,81.2682036194109,209.268594313017,2324,2355,2400,2.57503654557258,81.2682036194109,NaN,1
FLIC_0013,3,2,4.5315,4.5595,4.6155,0.0839999999999996,-5.35029952839577,-1,-91.8254503747958,491.293663834999,9064,9120,9232,5.35029952839577,91.8254503747958,3.37,1
FLIC_0013,3,3,7.2965,7.324,7.3755,0.0789999999999997,3.84370231381035,1,76.2977530598136,293.265849974536,14594,14649,14752,3.84370231381035,76.2977530598136,2.765,1
