Default Dataset,
X,Y
440.07656967840734,-0.28261778429638607
459.98468606431857,-0.6501028118686598
480.0459418070444,-0.34916600162485917
499.9540581929556,-0.05643976159149924
519.9387442572742,-0.010781945373106644
540.1531393568147,-0.13473315646816086
559.9081163859113,-0.23754143030721364
579.8162327718223,-0.34563678651798496
599.8009188361409,-0.4478662942432545
619.4793261868301,-0.852315064455133
639.770290964778,-0.9698135726045913
